Date,Open,High,Low,Close,Adj Close,Volume
2025-03-04,935.7999877929688,937.4000244140625,916.2999877929688,916.2999877929688,915.9446411132812,"26,339,558"
2025-03-05,927.0,936.3040161132812,921.6240234375,928.4000244140625,928.0399780273438,"24,074,743"
2025-03-06,901.5999755859375,903.2000122070312,879.22998046875,881.0,881.0,"29,804,821"
2025-03-07,877.0999755859375,890.0,876.4000244140625,876.4000244140625,876.4000244140625,"46,851,769"
2025-03-10,882.4000244140625,884.0,851.5999755859375,854.7999877929688,854.7999877929688,"28,712,273"
2025-03-11,853.2000122070312,854.4000244140625,834.7999877929688,841.5999755859375,841.5999755859375,"35,168,491"
2025-03-12,848.2000122070312,852.0,843.9000244140625,847.7000122070312,847.7000122070312,"30,560,699"
2025-03-13,853.4000244140625,861.2000122070312,849.0,853.0999755859375,853.0999755859375,"22,828,435"
2025-03-14,851.0999755859375,873.7000122070312,850.0,870.0,870.0,"20,728,833"
2025-03-17,873.2000122070312,879.2999877929688,869.5999755859375,877.7000122070312,877.7000122070312,"12,922,266"
2025-03-18,885.9000244140625,896.7999877929688,880.7999877929688,894.2999877929688,894.2999877929688,"42,782,722"
2025-03-19,889.9000244140625,898.7999877929688,887.0,895.9000244140625,895.9000244140625,"16,401,680"
2025-03-20,893.0,894.4000244140625,873.2000122070312,876.0999755859375,876.0999755859375,"31,597,430"
2025-03-21,880.0,884.5,872.0,881.5999755859375,881.5999755859375,"68,350,881"
2025-03-24,884.7000122070312,893.5,880.4000244140625,886.5999755859375,886.5999755859375,"12,608,852"
2025-03-25,883.5,893.0,875.0,889.4000244140625,889.4000244140625,"42,060,244"
2025-03-26,891.5,903.0,889.0999755859375,895.7000122070312,895.7000122070312,"18,401,399"
2025-03-27,894.0999755859375,897.2000122070312,885.7999877929688,893.4000244140625,893.4000244140625,"22,478,305"
2025-03-28,883.0999755859375,895.5,881.3510131835938,885.4000244140625,885.4000244140625,"16,143,531"
2025-03-31,880.0,881.0,866.2999877929688,873.9000244140625,873.9000244140625,"25,759,441"
2025-04-01,880.0,889.5999755859375,870.6010131835938,877.2000122070312,877.2000122070312,"16,914,739"
2025-04-02,879.4000244140625,883.0,871.4000244140625,883.0,883.0,"17,444,364"
2025-04-03,850.0,856.2999877929688,804.7000122070312,804.7000122070312,804.7000122070312,"44,432,340"
2025-04-04,787.5999755859375,791.2000122070312,737.0999755859375,760.0,760.0,"42,916,672"
2025-04-07,723.0999755859375,769.7999877929688,713.5,737.7999877929688,737.7999877929688,"50,946,823"
2025-04-08,738.7000122070312,747.0999755859375,724.572021484375,735.2000122070312,735.2000122070312,"51,920,540"
2025-04-09,709.4000244140625,724.0999755859375,698.7000122070312,713.2000122070312,713.2000122070312,"39,115,283"
2025-04-10,760.0,766.2000122070312,733.2999877929688,733.7000122070312,733.7000122070312,"38,982,513"
2025-04-11,749.2000122070312,752.9000244140625,732.2999877929688,743.5,743.5,"66,920,622"
